instruction,input,output,answers
Answer this question truthfully,What is (are) triple X syndrome ?,"Triple X syndrome, also called trisomy X or 47,XXX, is characterized by the presence of an additional X chromosome in each of a female's cells. Although females with this condition may be taller than average, this chromosomal change typically causes no unusual physical features. Most females with triple X syndrome have normal sexual development and are able to conceive children.  Triple X syndrome is associated with an increased risk of learning disabilities and delayed development of speech and language skills. Delayed development of motor skills (such as sitting and walking), weak muscle tone (hypotonia), and behavioral and emotional difficulties are also possible, but these characteristics vary widely among affected girls and women. Seizures or kidney abnormalities occur in about 10 percent of affected females.","Triple X syndrome is a chromosomal condition that affects development and intellectual ability. It is characterized by the presence of an extra X chromosome in each of a person's cells. The extra X chromosome is usually inherited from the mother. Triple X syndrome is also called trisomy X, trisomy 23, and 47,XXX."
Answer this question truthfully,What is (are) Autoimmune gastrointestinal dysmotility ?,"Autoimmune gastrointestinal dysmotility (AGID) is a rare form of autoimmune autonomic neuropathy that can occur either due to an idiopathic cause or a paraneoplastic cause. Idiopathic forms of AGID are a manifestation of autoimmune autonomic neuropathy that affects the digestive nervous system. The signs and symptoms of AGID may include achalasia,gastroparesis, hypertrophic pyloric stenosis, intestinal pseudo-obstruction, megacolon and anal spasm. Treatment options for AGID includes symptom relief, treatment of any underlying neoplasm if necessary, immunotherapy and supportive treatment. Nutrition and hydration therapy as well as management of abdominal pain are important supportive treatment measures.","Autoimmune gastrointestinal dysmotility is a rare condition that affects the gastrointestinal tract. It is characterized by a group of symptoms that include nausea, vomiting, abdominal pain, bloating, diarrhea, constipation, and difficulty swallowing. The symptoms are caused by an autoimmune response that damages the nerves and muscles of the gastrointestinal tract. This damage can lead to a variety of problems, including difficulty digesting food, malabsorption, and weight loss. Treatment for autoimmune gastrointestinal dysmotility typically involves a combination of medications, dietary changes, and lifestyle modifications."
Answer this question truthfully,What is (are) Congenital primary aphakia ?,"Congenital primary aphakia (CPA) is a rare eye condition that is present at birth in which the lens is missing. In some cases, CPA can be associated with other eye abnormalities including microphthalmia, absence of the iris, anterior segment aplasia, and/or sclerocornea (when the cornea blends with the sclera). This condition is thought to result from an abnormality during the 4th or 5th week of fetal development, which prevents the formation of any lens structure in the eye. Mutations in the FOXE3 gene have been associated with this condition. CPA is thought to be inherited in an autosomal recessive fashion. Click here to view a diagram of the eye.",Congenital primary aphakia is a rare condition characterized by the absence of the lens of the eye (aphakia) at birth. The condition is usually inherited in an autosomal recessive manner. The condition is usually inherited in an autosomal recessive manner.
Answer this question truthfully,What is (are) cutis laxa ?,"Cutis laxa is a disorder of connective tissue, which is the tissue that forms the body's supportive framework. Connective tissue provides structure and strength to the muscles, joints, organs, and skin.  The term ""cutis laxa"" is Latin for loose or lax skin, and this condition is characterized by skin that is sagging and not stretchy (inelastic). The skin often hangs in loose folds, causing the face and other parts of the body to have a droopy appearance. Extremely wrinkled skin may be particularly noticeable on the neck and in the armpits and groin.  Cutis laxa can also affect connective tissue in other parts of the body, including the heart, blood vessels, joints, intestines, and lungs. The disorder can cause heart problems and abnormal narrowing, bulging, or tearing of critical arteries. Affected individuals may have soft out-pouchings in the lower abdomen (inguinal hernia) or around the belly button (umbilical hernia). Pouches called diverticula can also develop in the walls of certain organs, such as the bladder and intestines. During childhood, some people with cutis laxa develop a lung disease called emphysema, which can make it difficult to breathe. Depending on which organs and tissues are affected, the signs and symptoms of cutis laxa can range from mild to life-threatening.  Researchers have described several different forms of cutis laxa. The forms are often distinguished by their pattern of inheritance: autosomal dominant, autosomal recessive, or X-linked. In general, the autosomal recessive forms of cutis laxa tend to be more severe than the autosomal dominant form. In addition to the features described above, some people with autosomal recessive cutis laxa have delayed development, intellectual disability, seizures, and problems with movement that can worsen over time.  The X-linked form of cutis laxa is often called occipital horn syndrome. This form of the disorder is considered a mild type of Menkes syndrome, which is a condition that affects copper levels in the body. In addition to sagging and inelastic skin, occipital horn syndrome is characterized by wedge-shaped calcium deposits in a bone at the base of the skull (the occipital bone), coarse hair, and loose joints.","Cutis laxa is a group of genetic disorders that cause the skin to be loose and wrinkled. The skin may also be thin and fragile. The condition is usually present at birth, but it can also develop later in life. Cutis laxa can affect the skin on the face, neck, arms, legs, and trunk. It can also affect the lungs, heart, and blood vessels. There are several types of cutis laxa, and each type has its own set of symptoms. The most common type is autosomal recessive cutis laxa, which is caused by mutations in the ELN gene. This type of cutis laxa is usually mild and does not cause any serious health problems. However, it can cause the skin to be loose and wrinkled, and it can also cause the lungs to be weak. The second most common type of cutis laxa is autosomal dominant cutis laxa, which is caused by mutations in the FBLN5 gene. This type of cutis laxa is usually more severe than autosomal recessive cutis laxa, and it can cause the skin to be loose and wrinkled, the lungs to be weak, and the heart to be enlarged. The third type of cutis laxa is X-linked"
Answer this question truthfully,What is (are) Isobutyryl-CoA dehydrogenase deficiency ?,"Isobutyryl-CoA dehydrogenase deficiency (IBD deficiency) is an inborn error of valine (an amino acid) metabolism. The symptoms, which may not develop until later in infancy or childhood, can include failure to thrive, dilated cardiomyopathy, seizures, and anemia. IBD deficiency is caused by mutations in the ACAD8 gene. It is inherited in an autosomal recessive manner.","Isobutyryl-CoA dehydrogenase deficiency is a rare disorder that affects the body's ability to break down certain proteins. This condition is caused by mutations in the ACAD9 gene. The ACAD9 gene provides instructions for making a protein called isobutyryl-CoA dehydrogenase. This protein is involved in the breakdown of certain amino acids, which are the building blocks of proteins. The breakdown of amino acids is an important process that provides energy for the body and helps to remove waste products. Isobutyryl-CoA dehydrogenase deficiency is characterized by a buildup of isobutyryl-CoA, a molecule that is produced during the breakdown of certain amino acids. This buildup can lead to a variety of symptoms, including seizures, developmental delay, and intellectual disability. In some cases, the condition can also cause liver and kidney problems. Treatment for isobutyryl-CoA dehydrogenase deficiency typically involves a low-protein diet and supplementation with certain vitamins and minerals. In some cases, medications may also be used to manage symptoms."
Answer this question truthfully,What is (are) Seasonal Affective Disorder ?,"Some people experience a serious mood change during the winter months, when there is less natural sunlight. This condition is called seasonal affective disorder, or SAD. SAD is a type of depression. It usually lifts during spring and summer.     Not everyone with SAD has the same symptoms. They include       - Sad, anxious or ""empty"" feelings    - Feelings of hopelessness and/or pessimism    - Feelings of guilt, worthlessness or helplessness    - Irritability, restlessness    - Loss of interest or pleasure in activities you used to enjoy    - Fatigue and decreased energy    - Difficulty concentrating, remembering details and making decisions    - Difficulty sleeping or oversleeping    - Changes in weight    - Thoughts of death or suicide       SAD may be effectively treated with light therapy. But nearly half of people with SAD do not respond to light therapy alone. Antidepressant medicines and talk therapy can reduce SAD symptoms, either alone or combined with light therapy.    NIH: National Institute of Mental Health","Seasonal affective disorder (SAD) is a type of depression that occurs at a certain time each year. It usually begins and ends at about the same time each year. SAD begins and ends at about the same time each year. It usually begins in the fall and continues into the winter months, sapping your energy and making you feel moody. Less often, people may have the winter blues in the spring and summer. SAD is also called seasonal depression or seasonal affective disorder."
Answer this question truthfully,What is (are) dyserythropoietic anemia and thrombocytopenia ?,"Dyserythropoietic anemia and thrombocytopenia is a condition that affects blood cells and primarily occurs in males. A main feature of this condition is a type of anemia called dyserythropoietic anemia, which is characterized by a shortage of red blood cells. The term ""dyserythropoietic"" refers to the abnormal red blood cell formation that occurs in this condition. In affected individuals, immature red blood cells are unusually shaped and cannot develop into functional mature cells, leading to a shortage of healthy red blood cells. People with dyserythropoietic anemia and thrombocytopenia can have another blood disorder characterized by a reduced level of circulating platelets (thrombocytopenia). Platelets are cell fragments that normally assist with blood clotting. Thrombocytopenia can cause easy bruising and abnormal bleeding. While people with dyserythropoietic anemia and thrombocytopenia can have signs and symptoms of both blood disorders, some are primarily affected by anemia, while others are more affected by thrombocytopenia.  The most severe cases of dyserythropoietic anemia and thrombocytopenia are characterized by hydrops fetalis, a condition in which excess fluid builds up in the body before birth. For many others, the signs and symptoms of dyserythropoietic anemia and thrombocytopenia begin in infancy. People with this condition experience prolonged bleeding or bruising after minor trauma or even in the absence of injury (spontaneous bleeding). Anemia can cause pale skin, weakness, and fatigue. Severe anemia may create a need for frequent blood transfusions to replenish the supply of red blood cells; however, repeated blood transfusions over many years can cause health problems such as excess iron in the blood. People with dyserythropoietic anemia and thrombocytopenia may also have a shortage of white blood cells (neutropenia), which can make them prone to recurrent infections. Additionally, they may have an enlarged spleen (splenomegaly). The severity of these abnormalities varies among affected individuals.  Some people with dyserythropoietic anemia and thrombocytopenia have additional blood disorders such as beta thalassemia or congenital erythropoietic porphyria. Beta thalassemia is a condition that reduces the production of hemoglobin, which is the iron-containing protein in red blood cells that carries oxygen. A decrease in hemoglobin can lead to a shortage of oxygen in cells and tissues throughout the body. Congenital erythropoietic porphyria is another disorder that impairs hemoglobin production. People with congenital erythropoietic porphyria are also very sensitive to sunlight, and areas of skin exposed to the sun can become fragile and blistered.","Dyserythropoietic anemia and thrombocytopenia is a rare blood disorder characterized by anemia (low red blood cell count) and thrombocytopenia (low platelet count). The anemia is caused by a defect in the bone marrow, which is the spongy tissue inside bones that produces blood cells. The bone marrow is unable to produce enough red blood cells, which carry oxygen to the body's tissues. The thrombocytopenia is caused by a defect in the bone marrow that prevents it from producing enough platelets, which are cell fragments that help the blood to clot. People with dyserythropoietic anemia and thrombocytopenia may experience fatigue, weakness, shortness of breath, and easy bruising or bleeding. The condition is usually diagnosed in childhood or adolescence, and it can be mild or severe. Treatment may include blood transfusions, medications, and bone marrow transplantation."
Answer this question truthfully,What is (are) Family Issues ?,"There are many kinds of families. Some have two parents, while others have a single parent. Sometimes there is no parent and grandparents raise grandchildren. Some children live in foster families, adoptive families, or in stepfamilies.    Families are much more than groups of people who share the same genes or the same address. They should be a source of love and support. This does not mean that everyone gets along all the time. Conflicts are a part of family life. Many things can lead to conflict, such as illness, disability, addiction, job loss, school problems, and marital issues. Listening to each other and working to resolve conflicts are important in strengthening the family.","Family issues are problems that affect the family as a whole. They can be caused by a variety of factors, including financial difficulties, illness, or death of a family member, divorce, or other major life changes. Family issues can be difficult to deal with, but there are resources available to help families cope."
Answer this question truthfully,What is (are) Satoyoshi syndrome ?,"Satoyoshi syndrome is a rare condition characterized by progressive, painful, intermittent muscle spasms, diarrhea or unusual malabsorption, amenorrhea, alopecia universalis, short stature, and skeletal abnormalities. Progressive painful intermittent muscle spasms usually start between 6 to 15 years of age. Alopecia universalis also appears around age 10. About half of affected individuals experience malabsorption, specifically of carbohydrates. The skeletal abnormalities may be secondary to muscle spasms. The main endocrine disorder is primary amenorrhea. All cases have apparently been sporadic, even when occurring in large families. The exact cause is unknown; but some researchers have speculated that Satoyoshi syndrome is an autoimmune disorder.","Satoyoshi syndrome is a rare condition that affects the nervous system. It is characterized by a combination of symptoms that include ataxia (uncoordinated movements), nystagmus (rapid, involuntary eye movements), and ataxia-telangiectasia-like oculocutaneous telangiectasia (small, dilated blood vessels in the skin). The condition is caused by mutations in the SETX gene, which provides instructions for making a protein called senataxin. This protein is involved in the repair of damaged DNA and in the regulation of gene activity. Mutations in the SETX gene lead to a loss of senataxin function, which disrupts the repair of damaged DNA and the regulation of gene activity. This can lead to the development of the symptoms of Satoyoshi syndrome."
Answer this question truthfully,What is (are) epidermolytic hyperkeratosis ?,"Epidermolytic hyperkeratosis is a skin disorder that is present at birth. Affected babies may have very red skin (erythroderma) and severe blisters. Because newborns with this disorder are missing the protection provided by normal skin, they are at risk of becoming dehydrated and developing infections in the skin or throughout the body (sepsis).  As affected individuals get older, blistering is less frequent, erythroderma becomes less evident, and the skin becomes thick (hyperkeratotic), especially over joints, on areas of skin that come into contact with each other, or on the scalp or neck. This thickened skin is usually darker than normal. Bacteria can grow in the thick skin, often causing a distinct odor.  Epidermolytic hyperkeratosis can be categorized into two types. People with PS-type epidermolytic hyperkeratosis have thick skin on the palms of their hands and soles of their feet (palmoplantar or palm/sole hyperkeratosis) in addition to other areas of the body. People with the other type, NPS-type, do not have extensive palmoplantar hyperkeratosis but do have hyperkeratosis on other areas of the body.  Epidermolytic hyperkeratosis is part of a group of conditions called ichthyoses, which refers to the scaly skin seen in individuals with related disorders. However, in epidermolytic hyperkeratosis, the skin is thick but not scaly as in some of the other conditions in the group.","Epidermolytic hyperkeratosis is a skin condition characterized by red, scaly skin that is often painful and itchy. The skin is also very sensitive to heat and friction. The condition is caused by mutations in the KRT1 or KRT10 gene."
Answer this question truthfully,What is (are) Cardiac Arrest ?,"The heart has an internal electrical system that controls the rhythm of the heartbeat. Problems can cause abnormal heart rhythms, called arrhythmias. There are many types of arrhythmia. During an arrhythmia, the heart can beat too fast, too slow, or it can stop beating. Sudden cardiac arrest (SCA) occurs when the heart develops an arrhythmia that causes it to stop beating. This is different than a heart attack, where the heart usually continues to beat but blood flow to the heart is blocked.     There are many possible causes of SCA. They include coronary heart disease, physical stress, and some inherited disorders. Sometimes there is no known cause for the SCA.    Without medical attention, the person will die within a few minutes. People are less likely to die if they have early defibrillation. Defibrillation sends an electric shock to restore the heart rhythm to normal. You should give cardiopulmonary resuscitation (CPR) to a person having SCA until defibrillation can be done.    If you have had an SCA, an implantable cardiac defibrillator (ICD) reduces the chance of dying from a second SCA.    NIH: National Heart, Lung, and Blood Institute","Cardiac arrest is a sudden, unexpected loss of heart function. It is a medical emergency that requires immediate treatment. Cardiac arrest is different from a heart attack. A heart attack is caused by a blockage in the blood flow to the heart. Cardiac arrest is caused by an electrical problem in the heart. The heart stops beating and blood stops flowing to the brain and other vital organs. If cardiac arrest is not treated within minutes, death will occur."
Answer this question truthfully,What is (are) tyrosinemia ?,"Tyrosinemia is a genetic disorder characterized by disruptions in the multistep process that breaks down the amino acid tyrosine, a building block of most proteins. If untreated, tyrosine and its byproducts build up in tissues and organs, which can lead to serious health problems.  There are three types of tyrosinemia, which are each distinguished by their symptoms and genetic cause. Tyrosinemia type I, the most severe form of this disorder, is characterized by signs and symptoms that begin in the first few months of life. Affected infants fail to gain weight and grow at the expected rate (failure to thrive) due to poor food tolerance because high-protein foods lead to diarrhea and vomiting. Affected infants may also have yellowing of the skin and whites of the eyes (jaundice), a cabbage-like odor, and an increased tendency to bleed (particularly nosebleeds). Tyrosinemia type I can lead to liver and kidney failure, softening and weakening of the bones (rickets), and an increased risk of liver cancer (hepatocellular carcinoma). Some affected children have repeated neurologic crises that consist of changes in mental state, reduced sensation in the arms and legs (peripheral neuropathy), abdominal pain, and respiratory failure. These crises can last from 1 to 7 days. Untreated, children with tyrosinemia type I often do not survive past the age of 10.  Tyrosinemia type II can affect the eyes, skin, and mental development. Signs and symptoms often begin in early childhood and include eye pain and redness, excessive tearing, abnormal sensitivity to light (photophobia), and thick, painful skin on the palms of their hands and soles of their feet (palmoplantar hyperkeratosis). About 50 percent of individuals with tyrosinemia type II have some degree of intellectual disability.  Tyrosinemia type III is the rarest of the three types. The characteristic features of this type include intellectual disability, seizures, and periodic loss of balance and coordination (intermittent ataxia).  About 10 percent of newborns have temporarily elevated levels of tyrosine (transient tyrosinemia). In these cases, the cause is not genetic. The most likely causes are vitamin C deficiency or immature liver enzymes due to premature birth.","Tyrosinemia is a group of inherited disorders that affect the liver and kidneys. Tyrosinemia is caused by a deficiency of an enzyme that breaks down the amino acid tyrosine. Tyrosine is an essential amino acid that is found in many foods, including meat, fish, eggs, and dairy products. Tyrosinemia can cause liver damage, kidney failure, and other health problems."
Answer this question truthfully,What is (are) Macrodactyly of the hand ?,"Macrodactyly of the hand is a rare condition in which a person's fingers are abnormally large due to the overgrowth of the underlying bone and soft tissue. This condition is congenital, meaning that babies are born with it. Although babies are born with the condition, macrodactyly is usually not inherited. Most of the time, only one hand is affected, but usually more than one finger is involved. Macrodactyly may also coexist with syndactyly, a condition in which two fingers are fused together. Although it is a benign condition, macrodactyly is deforming and can look cosmetically displeasing. Surgery, usually involving multiple procedures, can help the problem.",Macrodactyly of the hand is a condition in which one or more fingers or toes are abnormally large. The condition is usually present at birth (congenital) and is usually limited to one hand or foot. The condition is usually caused by a genetic mutation.
Answer this question truthfully,What is (are) Alpers' Disease ?,"Alpers' disease is a progressive, neurodevelopmental, mitochondrial DNA depletion syndrome characterized by three co-occurring clinical symptoms: psychomotor regression (dementia); seizures; and liver disease. It is an autosomal recessive disease caused by mutation in the gene for the mitochondrial DNA polymerase POLG. The disease occurs in about one in 100,000 persons. Most individuals with Alpers' disease do not show symptoms at birth and develop normally for weeks to years before the onset of symptoms. Diagnosis is established by testing for the POLG gene. Symptoms typically occur months before tissue samples show the mitochondrial DNA depletion, so that these depletion studies cannot be used for early diagnosis. About 80 percent of individuals with Alpers' disease develop symptoms in the first two years of life, and 20 percent develop symptoms between ages 2 and 25. The first symptoms of the disorder are usually nonspecific and may include hypoglycemia secondary to underlying liver disease, failure to thrive, infection-associated encephalopathy, spasticity, myoclonus (involuntary jerking of a muscle or group of muscles), seizures, or liver failure. An increased protein level is seen in cerebrospinal fluid analysis. Cortical blindness (loss of vision due to damage to the area of the cortex that controls vision) develops in about 25 percent of cases. Gastrointestinal dysfunction and cardiomyopathy may occur. Dementia is typically episodic and often associated with an infection that occurs while another disease is in process. Seizures may be difficult to control and unrelenting seizures can cause developmental regression as well. ""Alpers-like"" disorders without liver disease are genetically different and have a different clinical course. Fewer than one-third of individuals with the ""Alpers-like"" phenotype without liver disease have POLG mutations.","Alpers' disease is a rare, progressive, and fatal disorder that affects the brain and liver. It is characterized by the accumulation of a toxic substance called ammonia in the brain. This accumulation causes brain damage and leads to a variety of symptoms, including seizures, developmental delay, and liver failure. Alpers' disease is caused by mutations in the POLG gene, which provides instructions for making a protein called polymerase gamma. This protein is involved in the replication and repair of mitochondrial DNA, which is found in the mitochondria of cells. Mutations in the POLG gene can lead to the production of an abnormal polymerase gamma protein, which is unable to properly replicate and repair mitochondrial DNA. This can result in the accumulation of toxic substances in the brain and liver, leading to the symptoms of Alpers' disease. There is currently no cure for Alpers' disease, and treatment is focused on managing symptoms and slowing the progression of the disease."
Answer this question truthfully,What is (are) DICER1 syndrome ?,"DICER1 syndrome is an inherited disorder that increases the risk of a variety of cancerous and noncancerous (benign) tumors, most commonly certain types of tumors that occur in the lungs, kidneys, ovaries, and thyroid (a butterfly-shaped gland in the lower neck). Affected individuals can develop one or more types of tumors, and members of the same family can have different types. However, the risk of tumor formation in individuals with DICER1 syndrome is only moderately increased compared with tumor risk in the general population; most individuals with genetic changes associated with this condition never develop tumors.  People with DICER1 syndrome who develop tumors most commonly develop pleuropulmonary blastoma, which is characterized by tumors that grow in lung tissue or in the outer covering of the lungs (the pleura). These tumors occur in infants and young children and are rare in adults. Pleuropulmonary blastoma is classified as one of three types on the basis of tumor characteristics: in type I, the growths are composed of air-filled pockets called cysts; in type II, the growths contain both cysts and solid tumors (or nodules); and in type III, the growth is a solid tumor that can fill a large portion of the chest. Pleuropulmonary blastoma is considered cancerous, and types II and III can spread (metastasize), often to the brain, liver, or bones. Individuals with pleuropulmonary blastoma may also develop an abnormal accumulation of air in the chest cavity that can lead to the collapse of a lung (pneumothorax).  Cystic nephroma, which involves multiple benign fluid-filled cysts in the kidneys, can also occur; in people with DICER1 syndrome, the cysts develop early in childhood.  DICER1 syndrome is also associated with tumors in the ovaries known as Sertoli-Leydig cell tumors, which typically develop in affected women in their teens or twenties. Some Sertoli-Leydig cell tumors release the male sex hormone testosterone; in these cases, affected women may develop facial hair, a deep voice, and other male characteristics. Some affected women have irregular menstrual cycles. Sertoli-Leydig cell tumors usually do not metastasize.  People with DICER1 syndrome are also at risk of multinodular goiter, which is enlargement of the thyroid gland caused by the growth of multiple fluid-filled or solid tumors (both referred to as nodules). The nodules are generally slow-growing and benign. Despite the growths, the thyroid's function is often normal. Rarely, individuals with DICER1 syndrome develop thyroid cancer (thyroid carcinoma).","DICER1 syndrome is a condition that affects many parts of the body. It is characterized by a variety of tumors, including tumors of the brain, lungs, kidneys, and ovaries. The tumors can occur at any age, but they are most common in childhood and adolescence. DICER1 syndrome is caused by mutations in the DICER1 gene. These mutations prevent the gene from producing a protein that is needed for the normal development and function of cells."
Answer this question truthfully,What is (are) Neurogenic diabetes insipidus ?,"Neurogenic diabetes insipidus is a disease that causes frequent urination. This type of diabetes insipidus results from damage to the pituitary gland, which disrupts the normal storage and release of antidiuretic hormone (ADH). When this hormone reaches the kidneys, it directs them to make less urine. Damage to the pituitary gland can be caused by different diseases as well as by head injuries, neurosurgery, or genetic disorders. To treat the ADH deficiency that results from any kind of damage to the pituitary, a synthetic hormone called desmopressin can be taken by an injection, a nasal spray, or a pill.","Neurogenic diabetes insipidus is a condition in which the body produces too much urine. This condition is caused by a problem with the pituitary gland, which is a small gland at the base of the brain. The pituitary gland produces a hormone called antidiuretic hormone (ADH), which helps the kidneys control the amount of water in the body. When the pituitary gland does not produce enough ADH, the kidneys cannot reabsorb water from the urine, and the person produces large amounts of urine. This condition is also called central diabetes insipidus."
Answer this question truthfully,What is (are) hereditary hemorrhagic telangiectasia ?,"Hereditary hemorrhagic telangiectasia is a disorder that results in the development of multiple abnormalities in the blood vessels.  In the circulatory system, blood carrying oxygen from the lungs is normally pumped by the heart into the arteries at high pressure. The pressure allows the blood to make its way through the arteries to the smaller vessels (arterioles and capillaries) that supply oxygen to the body's tissues. By the time blood reaches the capillaries, the pressure is much lower. The blood then proceeds from the capillaries into veins, through which it eventually returns to the heart.  In hereditary hemorrhagic telangiectasia, some arterial vessels flow directly into veins rather than into the capillaries. These abnormalities are called arteriovenous malformations. When they occur in vessels near the surface of the skin, where they are visible as red markings, they are known as telangiectases (the singular is telangiectasia).  Without the normal buffer of the capillaries, the blood moves from the arteries at high pressure into the thinner walled, less elastic veins. The extra pressure tends to strain and enlarge these blood vessels, and may result in compression or irritation of adjacent tissues and frequent episodes of severe bleeding (hemorrhage). Nosebleeds are very common in people with hereditary hemorrhagic telangiectasia, and more serious problems may arise from hemorrhages in the brain, liver, lungs, or other organs.  Forms of hereditary hemorrhagic telangiectasia include type 1, type 2, type 3, and juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome. People with type 1 tend to develop symptoms earlier than those with type 2, and are more likely to have blood vessel malformations in the lungs and brain. Type 2 and type 3 may be associated with a higher risk of liver involvement. Women are more likely than men to develop blood vessel malformations in the lungs with type 1, and are also at higher risk of liver involvement with both type 1 and type 2. Individuals with any form of hereditary hemorrhagic telangiectasia, however, can have any of these problems.  Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome is a condition that involves both arteriovenous malformations and a tendency to develop growths (polyps) in the gastrointestinal tract. Types 1, 2 and 3 do not appear to increase the likelihood of such polyps.","Hereditary hemorrhagic telangiectasia (HHT) is a genetic disorder that causes abnormal blood vessels to form in the skin, mucous membranes, and internal organs. The abnormal blood vessels are called telangiectasias. They are small, dilated blood vessels that can be seen through the skin as red or purple spots. Telangiectasias can also form in the mucous membranes, which are the moist tissues that line the body's cavities and openings. The most common symptoms of HHT are nosebleeds, bleeding from the gastrointestinal tract, and anemia. HHT is caused by mutations in one of several genes. The most common gene involved is the ENG gene, which is responsible for the production of a protein called endoglin. Endoglin is involved in the formation of blood vessels. Mutations in the ENG gene can cause HHT by disrupting the normal development of blood vessels. There is no cure for HHT, but treatment can help to control symptoms. Treatment may include medications to stop bleeding, surgery to remove abnormal blood vessels, and blood transfusions to treat anemia."
Answer this question truthfully,What is (are) Lamellar ichthyosis ?,"Lamellar ichthyosis is a rare genetic condition that affects the skin. Infants affected by lamellar ichthyosis are generally born with a shiny, waxy layer of skin (called a collodian membrane) that is typically shed within the first two weeks of life. The skin beneath the collodian membrane is red and scaly. Other signs and symptoms of the condition may include ectropion, lips that turn outwards, hair loss, palmoplantar hyperkeratosis (thick skin on the palms of the hands and/or soles of the feet), nail abnormalities, dehydration and respiratory problems. Although the condition may be caused by changes (mutations) in one of several different genes, approximately 90% of cases are caused by mutations in the TGM1 gene. Lamellar ichthyosis is generally inherited in an autosomal recessive manner. Treatment is based on the signs and symptoms present in each person.","Lamellar ichthyosis is a rare skin condition that causes the skin to become very dry and scaly. The skin is also thick and has a fish-like appearance. The condition is caused by a mutation in the TGM1 gene, which is responsible for producing a protein called transglutaminase 1. This protein is important for the normal development and function of the skin. There is no cure for lamellar ichthyosis, but treatment can help to improve the symptoms."
Answer this question truthfully,What is (are) Periventricular Leukomalacia ?,"Periventricular leukomalacia (PVL) is characterized by the death of the white matter of the brain due to softening of the brain tissue. It can affect fetuses or newborns; premature babies are at the greatest risk of the disorder. PVL is caused by a lack of oxygen or blood flow to the periventricular area of the brain, which results in the death or loss of brain tissue. The periventricular area-the area around the spaces in the brain called ventricles-contains nerve fibers that carry messages from the brain to the body's muscles. Although babies with PVL generally have no outward signs or symptoms of the disorder, they are at risk for motor disorders, delayed mental development, coordination problems, and vision and hearing impairments. PVL may be accompanied by a hemorrhage or bleeding in the periventricular-intraventricular area (the area around and inside the ventricles), and can lead to cerebral palsy. The disorder is diagnosed by ultrasound of the head.","Periventricular leukomalacia (PVL) is a brain injury that occurs in premature infants. It is caused by damage to the white matter of the brain, which is the tissue that connects different parts of the brain. PVL can lead to a variety of problems, including cerebral palsy, developmental delay, and intellectual disability."
Answer this question truthfully,What is (are) Dentinogenesis imperfecta ?,"Dentinogenesis imperfecta is a condition that results in issues with tooth development, causing the teeth to be translucent and discolored (most often a blue-gray or yellow-brown in color). Individuals with this disorder tend to have teeth that are weaker than normal which leads to increased wear, breakage, and loss of the teeth. This can affect both primary (baby) and permanent teeth. Dentinogenesis imperfecta is caused by mutations in the DSPP gene and is inherited in an autosomal dominant manner. There are three types of dentinogenesis imperfecta. Type I: occurs in people who have osteogenesis imperfecta, a genetic condition in which bones are brittle, causing them to break easily. Type II and type III: usually occur in people without another inherited disorder. Some families with type II also have progressive hearing loss. Type III was first identified in a population in Brandywine, Maryland. Some researchers believe that dentinogenesis imperfecta type II and type III, along with a similar condition called dentin dysplasia type II, are actually just different forms of a single disorder.","Dentinogenesis imperfecta (DI) is a group of inherited disorders that affect the teeth. The teeth are usually discolored, and the enamel is thin and easily chipped. The teeth are also more likely to decay. DI is caused by mutations in the DSPP gene."
Answer this question truthfully,What is (are) Kidney Diseases ?,"Your kidneys are two bean-shaped organs, each about the size of your fists. They are located near the middle of your back, just below the rib cage. Inside each kidney about a million tiny structures called nephrons filter blood. They remove waste products and extra water, which become urine. The urine flows through tubes called ureters to your bladder, which stores the urine until you go to the bathroom.     Most kidney diseases attack the nephrons. This damage may leave kidneys unable to remove wastes. Causes can include genetic problems, injuries, or medicines. You are at greater risk for kidney disease if you have diabetes, high blood pressure, or a close family member with kidney disease. Chronic kidney disease damages the nephrons slowly over several years. Other kidney problems include:       - Cancer    - Cysts    - Stones    - Infections       Your doctor can run tests to find out if you have kidney disease. If your kidneys fail completely, a kidney transplant or dialysis can replace the work your kidneys normally do.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases","Kidney diseases are disorders that affect the kidneys. The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. The kidneys filter wastes and extra fluid from the blood, which are then excreted in the urine. The kidneys also produce hormones that help control blood pressure and make red blood cells. Kidney diseases can affect one or both kidneys. They can be acute or chronic. Acute kidney disease comes on suddenly and can be life-threatening. Chronic kidney disease develops slowly and worsens over time. It can lead to kidney failure, which is a life-threatening condition. Kidney diseases can be caused by a variety of factors, including high blood pressure, diabetes, and infections. They can also be inherited. Symptoms of kidney disease can include swelling, fatigue, and shortness of breath. Treatment depends on the cause and severity of the disease. It may include medications, dialysis, or a kidney transplant."
